email,phone_number,address,country_name,total_produced_2018_Gwh,price_per_kwh
s1@gmail.com,2027170102,1 St 100,Algeria,77076.85,0.06
s2@gmail.com,2027170204,2 St 200,Algeria,228.7717,0.054
s3@gmail.com,2027170306,3 St 300,Algeria,357.8995,0.028
s4@gmail.com,2027170408,4 St 400,Algeria,129.1277,0.051
s5@gmail.com,2027170510,5 St 500,Angola,4710.339,0.058
s6@gmail.com,2027170612,6 St 600,Angola,6193.413,0.044
s7@gmail.com,2027170714,7 St 700,Angola,6198.636,0.059
s8@gmail.com,2027170816,8 St 800,Angola,5.223,0.055
s9@gmail.com,2027170918,9 St 900,Benin,1.0431,0.039
s10@gmail.com,2027171020,10 St 1000,Benin,349.6292,0.021
s11@gmail.com,2027171122,11 St 1100,Benin,6.166429,0.04
s12@gmail.com,2027171224,12 St 1200,Benin,5.12325,0.028
s13@gmail.com,2027171326,13 St 1300,Botswana,3.04215,0.039
s14@gmail.com,2027171428,14 St 1400,Botswana,2757.454,0.048
s15@gmail.com,2027171530,15 St 1500,Botswana,5.127636,0.054
s16@gmail.com,2027171632,16 St 1600,Botswana,2,0.039
s17@gmail.com,2027171734,17 St 1700,Burkina Faso,2038.677,0.035
s18@gmail.com,2027171836,18 St 1800,Burkina Faso,123.1633,0.05
s19@gmail.com,2027171938,19 St 1900,Burkina Faso,123.2914,0.044
s20@gmail.com,2027172040,20 St 2000,Burkina Faso,0.12817,0.053
s21@gmail.com,2027172142,21 St 2100,Burundi,4.52847,0.021
s22@gmail.com,2027172244,22 St 2200,Burundi,189.0122,0.024
s23@gmail.com,2027172346,23 St 2300,Burundi,190.025,0.058
s24@gmail.com,2027172448,24 St 2400,Burundi,1.01275,0.052
s25@gmail.com,2027172550,25 St 2500,Cabo Verde,346.637,0.02
s26@gmail.com,2027172652,26 St 2600,Cabo Verde,38.6898,0.04
s27@gmail.com,2027172754,27 St 2700,Cabo Verde,38.6897,0.03
s28@gmail.com,2027172856,28 St 2800,Cameroon,4.194562,0.033
s29@gmail.com,2027172958,29 St 2900,Cameroon,3849.97,0.054
